Drill Listing
=============
Drill: .01969  Tool: 1  Feed: 95  Speed: 300
X 970275  Y 270000
X 997834  Y 270000
X 984055  Y 270000
X 997598  Y 120000
X 956259  Y 120000
X 970039  Y 120000
X 983818  Y 120000
X 1011377  Y 120000
X 1025157  Y 120000
X 1038937  Y 120000
X 1025393  Y 270000
X 1039173  Y 270000
X 1011614  Y 270000
X 1063937  Y 270000
X 1077716  Y 270000
X 1091496  Y 270000
X 1105275  Y 270000
X 1105039  Y 120000
X 1091259  Y 120000
X 1063700  Y 120000
X 1077480  Y 120000
X 1118818  Y 120000
X 1132598  Y 120000
X 1146377  Y 120000
X 1132834  Y 270000
X 1146614  Y 270000
X 1119055  Y 270000
X 1174173  Y 270000
X 1160393  Y 270000
X 1198937  Y 270000
X 1173937  Y 120000
X 1160157  Y 120000
X 1198700  Y 120000
X 1226259  Y 120000
X 1212480  Y 120000
X 1253818  Y 120000
X 1240039  Y 120000
X 1254055  Y 270000
X 1240275  Y 270000
X 1212716  Y 270000
X 1226496  Y 270000
X 1267834  Y 270000
X 1281614  Y 270000
X 1295393  Y 270000
X 1281377  Y 120000
X 1267598  Y 120000
X 1295157  Y 120000
X 1308937  Y 120000
X 1309173  Y 270000
Drill: .11811  Tool: 6  Feed: 69  Speed: 658
X 113779  Y 277165
X 474015  Y 147244
X 745669  Y 147244
X 745669  Y 241732
X 1017322  Y 147244
X 1288976  Y 147244
X 1288976  Y 241732
End of Listing
